dia_ocu,mes_ocu,hora_ocu,depto_ocu,mupio_ocu,año_ocu,numero_vehiculos_involucrados,fallecidos,lesionados,severidad
1.0,1,7.0,11,1101,2015.0,1.0,0.0,8.0,Grave
1.0,1,7.0,11,1101,2015.0,1.0,0.0,8.0,Grave
1.0,1,7.0,11,1101,2015.0,1.0,0.0,8.0,Grave
1.0,1,7.0,11,1101,2015.0,1.0,0.0,8.0,Grave
1.0,1,7.0,11,1101,2015.0,1.0,0.0,8.0,Grave
1.0,1,7.0,11,1101,2015.0,1.0,0.0,8.0,Grave
1.0,1,7.0,11,1101,2015.0,1.0,0.0,8.0,Grave
1.0,1,7.0,11,1101,2015.0,1.0,0.0,8.0,Grave
1.0,1,7.0,11,1101,2015.0,1.0,0.0,8.0,Grave
1.0,1,7.0,11,1101,2015.0,1.0,0.0,8.0,Grave
1.0,1,7.0,11,1101,2015.0,1.0,0.0,8.0,Grave
1.0,1,7.0,11,1101,2015.0,1.0,0.0,8.0,Grave
1.0,1,7.0,11,1101,2015.0,1.0,0.0,8.0,Grave
1.0,1,7.0,11,1101,2015.0,1.0,0.0,8.0,Grave
1.0,1,7.0,11,1101,2015.0,1.0,0.0,8.0,Grave
1.0,1,7.0,11,1101,2015.0,1.0,0.0,8.0,Grave
1.0,1,7.0,11,1101,2015.0,1.0,0.0,8.0,Grave
1.0,1,7.0,11,1101,2015.0,1.0,0.0,8.0,Grave
1.0,1,7.0,13,1322,2013.0,1.0,3.0,0.0,Grave
1.0,1,7.0,13,1322,2013.0,1.0,3.0,0.0,Grave
1.0,1,7.0,13,1322,2013.0,1.0,3.0,0.0,Grave
1.0,1,7.0,13,1322,2013.0,1.0,3.0,0.0,Grave
1.0,1,7.0,13,1322,2013.0,1.0,3.0,0.0,Grave
1.0,1,7.0,13,1322,2013.0,1.0,3.0,0.0,Grave
1.0,1,7.0,13,1322,2013.0,1.0,3.0,0.0,Grave
1.0,1,7.0,13,1322,2013.0,1.0,3.0,0.0,Grave
1.0,1,7.0,13,1322,2013.0,1.0,3.0,0.0,Grave
1.0,1,7.0,13,1322,2013.0,1.0,3.0,0.0,Grave
1.0,1,7.0,13,1322,2013.0,1.0,3.0,0.0,Grave
1.0,1,7.0,13,1322,2013.0,1.0,3.0,0.0,Grave
1.0,1,7.0,13,1322,2013.0,1.0,3.0,0.0,Grave
1.0,1,7.0,13,1322,2013.0,1.0,3.0,0.0,Grave
1.0,1,7.0,13,1322,2013.0,1.0,3.0,0.0,Grave
1.0,1,7.0,13,1322,2013.0,1.0,3.0,0.0,Grave
1.0,1,7.0,13,1322,2013.0,1.0,3.0,0.0,Grave
1.0,1,7.0,13,1322,2013.0,1.0,3.0,0.0,Grave
1.0,1,7.0,13,1322,2013.0,1.0,3.0,0.0,Grave
1.0,1,7.0,13,1322,2013.0,1.0,3.0,0.0,Grave
1.0,1,8.0,3,313,2022.0,1.0,2.0,1.0,Grave
1.0,1,8.0,3,313,2022.0,1.0,2.0,1.0,Grave
1.0,1,8.0,3,313,2022.0,1.0,2.0,1.0,Grave
1.0,1,8.0,3,313,2022.0,1.0,2.0,1.0,Grave
1.0,1,8.0,3,313,2022.0,1.0,2.0,1.0,Grave
1.0,1,8.0,3,313,2022.0,1.0,2.0,1.0,Grave
1.0,1,8.0,3,313,2022.0,1.0,2.0,1.0,Grave
1.0,1,8.0,3,313,2022.0,1.0,2.0,1.0,Grave
1.0,1,8.0,3,313,2022.0,1.0,2.0,1.0,Grave
1.0,1,8.0,3,313,2022.0,1.0,2.0,1.0,Grave
1.0,1,8.0,3,313,2022.0,1.0,2.0,1.0,Grave
1.0,1,8.0,3,313,2022.0,1.0,2.0,1.0,Grave
1.0,1,8.0,3,313,2022.0,1.0,2.0,1.0,Grave
1.0,1,8.0,3,313,2022.0,1.0,2.0,1.0,Grave
1.0,1,8.0,3,313,2022.0,1.0,2.0,1.0,Grave
1.0,1,8.0,3,313,2022.0,1.0,2.0,1.0,Grave
1.0,1,8.0,3,313,2022.0,1.0,2.0,1.0,Grave
1.0,1,8.0,3,313,2022.0,1.0,2.0,1.0,Grave
1.0,1,9.0,6,608,2018.0,1.0,2.0,11.0,Grave
1.0,1,9.0,6,608,2018.0,1.0,2.0,11.0,Grave
1.0,1,9.0,6,608,2018.0,1.0,2.0,11.0,Grave
1.0,1,9.0,6,608,2018.0,1.0,2.0,11.0,Grave
1.0,1,9.0,6,608,2018.0,1.0,2.0,11.0,Grave
1.0,1,9.0,6,608,2018.0,1.0,2.0,11.0,Grave
1.0,1,9.0,6,608,2018.0,1.0,2.0,11.0,Grave
1.0,1,9.0,6,608,2018.0,1.0,2.0,11.0,Grave
1.0,1,9.0,6,608,2018.0,1.0,2.0,11.0,Grave
1.0,1,9.0,6,608,2018.0,1.0,2.0,11.0,Grave
1.0,1,9.0,6,608,2018.0,1.0,2.0,11.0,Grave
1.0,1,9.0,6,608,2018.0,1.0,2.0,11.0,Grave
1.0,1,9.0,6,608,2018.0,1.0,2.0,11.0,Grave
1.0,1,9.0,6,608,2018.0,1.0,2.0,11.0,Grave
1.0,1,9.0,6,608,2018.0,1.0,2.0,11.0,Grave
1.0,1,9.0,6,608,2018.0,1.0,2.0,11.0,Grave
1.0,1,9.0,14,1416,2020.0,1.0,0.0,18.0,Grave
1.0,1,9.0,14,1416,2020.0,1.0,0.0,18.0,Grave
1.0,1,9.0,14,1416,2020.0,1.0,0.0,18.0,Grave
1.0,1,9.0,14,1416,2020.0,1.0,0.0,18.0,Grave
1.0,1,9.0,14,1416,2020.0,1.0,0.0,18.0,Grave
1.0,1,9.0,14,1416,2020.0,1.0,0.0,18.0,Grave
1.0,1,9.0,14,1416,2020.0,1.0,0.0,18.0,Grave
1.0,1,9.0,14,1416,2020.0,1.0,0.0,18.0,Grave
1.0,1,9.0,14,1416,2020.0,1.0,0.0,18.0,Grave
1.0,1,9.0,14,1416,2020.0,1.0,0.0,18.0,Grave
1.0,1,9.0,14,1416,2020.0,1.0,0.0,18.0,Grave
1.0,1,9.0,14,1416,2020.0,1.0,0.0,18.0,Grave
1.0,1,9.0,14,1416,2020.0,1.0,0.0,18.0,Grave
1.0,1,9.0,14,1416,2020.0,1.0,0.0,18.0,Grave
1.0,1,9.0,14,1416,2020.0,1.0,0.0,18.0,Grave
1.0,1,9.0,14,1416,2020.0,1.0,0.0,18.0,Grave
1.0,1,9.0,14,1416,2020.0,1.0,0.0,18.0,Grave
1.0,1,9.0,14,1416,2020.0,1.0,0.0,18.0,Grave
1.0,1,9.0,14,1416,2020.0,1.0,0.0,18.0,Grave
1.0,1,10.0,22,2201,2016.0,1.0,0.0,8.0,Grave
1.0,1,10.0,22,2201,2016.0,1.0,0.0,8.0,Grave
1.0,1,10.0,22,2201,2016.0,1.0,0.0,8.0,Grave
1.0,1,10.0,22,2201,2016.0,1.0,0.0,8.0,Grave
1.0,1,10.0,22,2201,2016.0,1.0,0.0,8.0,Grave
1.0,1,10.0,22,2201,2016.0,1.0,0.0,8.0,Grave
1.0,1,10.0,22,2201,2016.0,1.0,0.0,8.0,Grave
1.0,1,10.0,22,2201,2016.0,1.0,0.0,8.0,Grave
1.0,1,10.0,22,2201,2016.0,1.0,0.0,8.0,Grave
1.0,1,10.0,22,2201,2016.0,1.0,0.0,8.0,Grave
1.0,1,10.0,22,2201,2016.0,1.0,0.0,8.0,Grave
1.0,1,10.0,22,2201,2016.0,1.0,0.0,8.0,Grave
1.0,1,10.0,22,2201,2016.0,1.0,0.0,8.0,Grave
1.0,1,10.0,22,2201,2016.0,1.0,0.0,8.0,Grave
1.0,1,10.0,22,2201,2016.0,1.0,0.0,8.0,Grave
1.0,1,10.0,22,2201,2016.0,1.0,0.0,8.0,Grave
1.0,1,10.0,22,2201,2016.0,1.0,0.0,8.0,Grave
1.0,1,12.0,7,701,2022.0,1.0,0.0,7.0,Grave
1.0,1,12.0,7,701,2022.0,1.0,0.0,7.0,Grave
1.0,1,12.0,7,701,2022.0,1.0,0.0,7.0,Grave
1.0,1,12.0,7,701,2022.0,1.0,0.0,7.0,Grave
1.0,1,12.0,7,701,2022.0,1.0,0.0,7.0,Grave
1.0,1,12.0,7,701,2022.0,1.0,0.0,7.0,Grave
1.0,1,12.0,7,701,2022.0,1.0,0.0,7.0,Grave
1.0,1,12.0,7,701,2022.0,1.0,0.0,7.0,Grave
1.0,1,12.0,7,701,2022.0,1.0,0.0,7.0,Grave
1.0,1,12.0,7,701,2022.0,1.0,0.0,7.0,Grave
1.0,1,12.0,7,701,2022.0,1.0,0.0,7.0,Grave
1.0,1,12.0,7,701,2022.0,1.0,0.0,7.0,Grave
1.0,1,12.0,7,701,2022.0,1.0,0.0,7.0,Grave
1.0,1,12.0,7,701,2022.0,1.0,0.0,7.0,Grave
1.0,1,12.0,7,701,2022.0,1.0,0.0,7.0,Grave
1.0,1,12.0,7,701,2022.0,1.0,0.0,7.0,Grave
1.0,1,12.0,7,701,2022.0,1.0,0.0,7.0,Grave
1.0,1,12.0,7,701,2022.0,1.0,0.0,7.0,Grave
1.0,1,12.0,7,701,2022.0,1.0,0.0,7.0,Grave
1.0,1,14.0,10,1002,2020.0,1.0,2.0,0.0,Grave
1.0,1,14.0,10,1002,2020.0,1.0,2.0,0.0,Grave
1.0,1,14.0,10,1002,2020.0,1.0,2.0,0.0,Grave
1.0,1,14.0,10,1002,2020.0,1.0,2.0,0.0,Grave
1.0,1,14.0,10,1002,2020.0,1.0,2.0,0.0,Grave
1.0,1,14.0,10,1002,2020.0,1.0,2.0,0.0,Grave
1.0,1,14.0,10,1002,2020.0,1.0,2.0,0.0,Grave
