dia_ocu,mes_ocu,hora_ocu,depto_ocu,mupio_ocu,año_ocu,numero_vehiculos_involucrados,fallecidos_lesionados
1.0,1.0,0.0,1.0,101.0,2013,1,1
1.0,1.0,0.0,12.0,1218.0,2013,1,1
1.0,1.0,0.0,18.0,1801.0,2013,1,1
1.0,1.0,0.0,19.0,1901.0,2013,1,2
1.0,1.0,0.0,5.0,502.0,2013,1,1
1.0,1.0,1.0,12.0,1217.0,2013,1,1
1.0,1.0,11.0,9.0,901.0,2013,1,0
1.0,1.0,14.0,20.0,2001.0,2013,1,1
1.0,1.0,15.0,1.0,101.0,2013,1,1
1.0,1.0,16.0,9.0,901.0,2013,1,1
1.0,1.0,17.0,19.0,1901.0,2013,1,1
1.0,1.0,17.0,22.0,2204.0,2013,1,6
1.0,1.0,18.0,19.0,1901.0,2013,1,10
1.0,1.0,2.0,3.0,308.0,2013,1,1
1.0,1.0,3.0,1.0,106.0,2013,1,0
1.0,1.0,3.0,1.0,108.0,2013,1,0
1.0,1.0,3.0,18.0,1801.0,2013,1,2
1.0,1.0,4.0,3.0,301.0,2013,1,1
1.0,1.0,5.0,1.0,101.0,2013,1,3
1.0,1.0,5.0,2.0,201.0,2013,1,4
1.0,1.0,6.0,18.0,1801.0,2013,1,1
1.0,1.0,7.0,13.0,1322.0,2013,1,3
1.0,1.0,8.0,16.0,1604.0,2013,1,0
1.0,1.0,9.0,19.0,1903.0,2013,1,1
10.0,1.0,11.0,20.0,2004.0,2013,1,3
10.0,1.0,14.0,12.0,1202.0,2013,1,1
10.0,1.0,15.0,1.0,101.0,2013,1,1
10.0,1.0,19.0,1.0,101.0,2013,1,1
10.0,1.0,20.0,10.0,1001.0,2013,2,1
10.0,1.0,20.0,14.0,1401.0,2013,1,0
10.0,1.0,4.0,16.0,1609.0,2013,1,1
10.0,1.0,5.0,4.0,401.0,2013,1,1
10.0,1.0,7.0,6.0,601.0,2013,1,3
10.0,1.0,8.0,1.0,101.0,2013,1,1
11.0,1.0,1.0,1.0,101.0,2013,1,0
11.0,1.0,12.0,1.0,101.0,2013,1,1
11.0,1.0,13.0,1.0,101.0,2013,1,2
11.0,1.0,14.0,17.0,1712.0,2013,1,1
11.0,1.0,14.0,3.0,307.0,2013,1,1
11.0,1.0,16.0,17.0,1712.0,2013,1,1
11.0,1.0,16.0,18.0,1801.0,2013,1,1
11.0,1.0,16.0,18.0,1805.0,2013,1,2
11.0,1.0,18.0,5.0,509.0,2013,2,3
11.0,1.0,19.0,1.0,115.0,2013,1,1
11.0,1.0,19.0,18.0,1801.0,2013,1,1
11.0,1.0,19.0,7.0,706.0,2013,1,0
11.0,1.0,4.0,12.0,1201.0,2013,1,0
11.0,1.0,5.0,16.0,1613.0,2013,1,11
11.0,1.0,7.0,1.0,102.0,2013,1,1
11.0,1.0,8.0,10.0,1002.0,2013,1,1
11.0,1.0,9.0,1.0,101.0,2013,1,1
12.0,1.0,1.0,1.0,101.0,2013,1,0
12.0,1.0,12.0,2.0,201.0,2013,1,1
12.0,1.0,15.0,1.0,101.0,2013,1,1
12.0,1.0,17.0,3.0,301.0,2013,1,1
