dia_ocu,mes_ocu,hora_ocu,depto_ocu,mupio_ocu,año_ocu,numero_vehiculos_involucrados,fallecidos,lesionados
1.0,1,0.0,1,101,2013,1,1,0
1.0,1,0.0,12,1218,2013,1,0,1
1.0,1,0.0,18,1801,2013,1,0,1
1.0,1,0.0,19,1901,2013,1,1,1
1.0,1,0.0,5,502,2013,1,1,0
1.0,1,1.0,12,1217,2013,1,0,1
1.0,1,11.0,9,901,2013,1,0,0
1.0,1,14.0,20,2001,2013,1,0,1
1.0,1,15.0,1,101,2013,1,1,0
1.0,1,16.0,9,901,2013,1,0,1
1.0,1,17.0,19,1901,2013,1,0,1
1.0,1,17.0,22,2204,2013,1,5,1
1.0,1,18.0,19,1901,2013,1,0,10
1.0,1,2.0,3,308,2013,1,1,0
1.0,1,3.0,1,106,2013,1,0,0
1.0,1,3.0,1,108,2013,1,0,0
1.0,1,3.0,18,1801,2013,1,0,2
1.0,1,4.0,3,301,2013,1,1,0
1.0,1,5.0,1,101,2013,1,0,3
1.0,1,5.0,2,201,2013,1,0,4
1.0,1,6.0,18,1801,2013,1,1,0
1.0,1,7.0,13,1322,2013,1,3,0
1.0,1,8.0,16,1604,2013,1,0,0
1.0,1,9.0,19,1903,2013,1,0,1
10.0,1,11.0,20,2004,2013,1,0,3
10.0,1,14.0,12,1202,2013,1,0,1
10.0,1,15.0,1,101,2013,1,0,1
10.0,1,19.0,1,101,2013,1,1,0
10.0,1,20.0,10,1001,2013,2,0,1
10.0,1,20.0,14,1401,2013,1,0,0
10.0,1,4.0,16,1609,2013,1,0,1
10.0,1,5.0,4,401,2013,1,1,0
10.0,1,7.0,6,601,2013,1,0,3
10.0,1,8.0,1,101,2013,1,0,1
11.0,1,1.0,1,101,2013,1,0,0
11.0,1,12.0,1,101,2013,1,0,1
11.0,1,13.0,1,101,2013,1,0,2
11.0,1,14.0,17,1712,2013,1,0,1
11.0,1,14.0,3,307,2013,1,1,0
11.0,1,16.0,17,1712,2013,1,0,1
11.0,1,16.0,18,1801,2013,1,0,1
11.0,1,16.0,18,1805,2013,1,0,2
11.0,1,18.0,5,509,2013,2,1,2
11.0,1,19.0,1,115,2013,1,0,1
11.0,1,19.0,18,1801,2013,1,0,1
11.0,1,19.0,7,706,2013,1,0,0
11.0,1,4.0,12,1201,2013,1,0,0
11.0,1,5.0,16,1613,2013,1,0,11
11.0,1,7.0,1,102,2013,1,0,1
11.0,1,8.0,10,1002,2013,1,0,1
11.0,1,9.0,1,101,2013,1,0,1
12.0,1,1.0,1,101,2013,1,0,0
12.0,1,12.0,2,201,2013,1,0,1
12.0,1,15.0,1,101,2013,1,0,1
12.0,1,17.0,3,301,2013,1,0,1
12.0,1,18.0,1,107,2013,1,0,2
12.0,1,19.0,1,101,2013,1,0,1
12.0,1,19.0,11,1107,2013,1,1,0
12.0,1,19.0,16,1613,2013,1,0,1
12.0,1,2.0,1,101,2013,1,0,0
12.0,1,2.0,17,1701,2013,1,0,1
12.0,1,21.0,1,101,2013,2,0,5
12.0,1,23.0,1,101,2013,1,0,6
12.0,1,9.0,1,101,2013,1,0,3
12.0,1,9.0,10,1002,2013,1,0,1
12.0,1,9.0,17,1701,2013,1,0,1
13.0,1,10.0,19,1904,2013,1,0,1
13.0,1,11.0,6,601,2013,1,2,1
13.0,1,14.0,20,2009,2013,1,1,0
13.0,1,15.0,1,108,2013,1,0,1
13.0,1,15.0,6,613,2013,1,0,5
13.0,1,15.0,9,901,2013,1,0,1
13.0,1,16.0,1,101,2013,1,0,1
13.0,1,18.0,20,2001,2013,1,0,5
13.0,1,18.0,22,2214,2013,1,1,0
13.0,1,19.0,10,1002,2013,1,0,1
13.0,1,19.0,5,501,2013,1,0,2
13.0,1,20.0,1,101,2013,2,1,1
13.0,1,20.0,1,115,2013,1,1,0
13.0,1,20.0,5,504,2013,1,1,0
13.0,1,21.0,2,201,2013,1,1,0
13.0,1,22.0,12,1201,2013,1,0,1
13.0,1,22.0,5,505,2013,1,0,2
13.0,1,23.0,4,403,2013,1,0,1
13.0,1,3.0,10,1010,2013,1,1,0
13.0,1,4.0,12,1201,2013,1,0,1
13.0,1,7.0,4,403,2013,1,0,1
14.0,1,0.0,4,416,2013,1,1,0
14.0,1,11.0,5,502,2013,1,1,0
14.0,1,12.0,14,1401,2013,1,0,1
14.0,1,12.0,16,1609,2013,1,0,1
