dia_ocu,mes_ocu,año_ocu,hora_ocu,depto_ocu,mupio_ocu,tipo_veh,color_veh,modelo_veh,tipo_accidente,marca_veh
1.0,1.0,2013,3.0,1.0,106.0,3.0,99.0,9999.0,2.0,99.0
1.0,1.0,2013,5.0,1.0,101.0,1.0,2.0,2010.0,2.0,5.0
1.0,1.0,2013,3.0,1.0,108.0,1.0,4.0,9999.0,1.0,20.0
1.0,1.0,2013,0.0,19.0,1901.0,4.0,1.0,2012.0,2.0,24.0
1.0,1.0,2013,18.0,19.0,1901.0,3.0,1.0,9999.0,3.0,44.0
1.0,1.0,2013,0.0,5.0,502.0,4.0,5.0,2001.0,2.0,2.0
1.0,1.0,2013,11.0,9.0,901.0,2.0,5.0,9999.0,2.0,44.0
1.0,1.0,2013,1.0,12.0,1217.0,5.0,6.0,1992.0,1.0,34.0
1.0,1.0,2013,7.0,13.0,1322.0,3.0,99.0,9999.0,3.0,44.0
1.0,1.0,2013,8.0,16.0,1604.0,5.0,2.0,1999.0,2.0,19.0
1.0,1.0,2013,3.0,18.0,1801.0,4.0,99.0,9999.0,2.0,99.0
1.0,1.0,2013,4.0,3.0,301.0,4.0,99.0,9999.0,2.0,99.0
1.0,1.0,2013,2.0,3.0,308.0,4.0,5.0,9999.0,2.0,99.0
2.0,1.0,2013,15.0,1.0,101.0,3.0,2.0,2008.0,1.0,44.0
2.0,1.0,2013,7.0,1.0,101.0,12.0,6.0,9999.0,1.0,99.0
2.0,1.0,2013,22.0,1.0,101.0,10.0,2.0,9999.0,1.0,20.0
2.0,1.0,2013,7.0,5.0,501.0,5.0,2.0,1999.0,1.0,44.0
2.0,1.0,2013,10.0,6.0,611.0,12.0,99.0,9999.0,3.0,99.0
2.0,1.0,2013,18.0,13.0,1301.0,4.0,3.0,9999.0,1.0,40.0
2.0,1.0,2013,10.0,16.0,1608.0,12.0,7.0,1995.0,3.0,13.0
3.0,1.0,2013,11.0,1.0,101.0,12.0,1.0,9999.0,1.0,99.0
3.0,1.0,2013,21.0,1.0,108.0,3.0,2.0,9999.0,1.0,34.0
3.0,1.0,2013,14.0,5.0,501.0,5.0,2.0,9999.0,1.0,99.0
3.0,1.0,2013,19.0,9.0,917.0,2.0,9.0,9999.0,1.0,11.0
3.0,1.0,2013,20.0,13.0,1301.0,3.0,3.0,9999.0,3.0,44.0
3.0,1.0,2013,22.0,2.0,203.0,9.0,2.0,9999.0,1.0,20.0
3.0,1.0,2013,16.0,7.0,701.0,9.0,4.0,9999.0,3.0,20.0
4.0,1.0,2013,17.0,1.0,101.0,1.0,2.0,9999.0,1.0,32.0
4.0,1.0,2013,7.0,1.0,101.0,4.0,99.0,9999.0,3.0,99.0
4.0,1.0,2013,6.0,20.0,2008.0,13.0,7.0,9999.0,1.0,99.0
4.0,1.0,2013,15.0,5.0,501.0,1.0,4.0,9999.0,1.0,21.0
4.0,1.0,2013,8.0,10.0,1001.0,8.0,2.0,9999.0,1.0,42.0
4.0,1.0,2013,20.0,9.0,901.0,2.0,4.0,2002.0,1.0,42.0
4.0,1.0,2013,18.0,15.0,1501.0,1.0,99.0,9999.0,3.0,99.0
4.0,1.0,2013,14.0,2.0,205.0,3.0,9.0,1987.0,4.0,99.0
4.0,1.0,2013,17.0,7.0,701.0,2.0,14.0,9999.0,3.0,42.0
5.0,1.0,2013,8.0,1.0,103.0,5.0,2.0,1995.0,1.0,37.0
5.0,1.0,2013,12.0,20.0,2001.0,4.0,9.0,9999.0,1.0,99.0
5.0,1.0,2013,8.0,10.0,1001.0,5.0,3.0,1997.0,1.0,15.0
5.0,1.0,2013,7.0,9.0,919.0,7.0,99.0,9999.0,4.0,99.0
5.0,1.0,2013,9.0,13.0,1301.0,3.0,1.0,9999.0,2.0,44.0
5.0,1.0,2013,23.0,2.0,201.0,6.0,6.0,1996.0,1.0,15.0
5.0,1.0,2013,16.0,18.0,1804.0,2.0,4.0,1997.0,1.0,44.0
6.0,1.0,2013,9.0,1.0,101.0,3.0,2.0,9999.0,1.0,44.0
